traceId,traceTime,startTime,endTime,parentId,childId,childOperation,parentOperation,childMS,childPod,parentMS,parentPod,parentDuration,childDuration
000c30f6abd0adae,1750232210238476,1750232210240388,1750232210240897,41cccabafd5ab285,31045edb525fe124,/geo.Geo/Nearby,/geo.Geo/Nearby,geo,geo-744fdcb64f-4t579,search,search-77b68f9cd5-vls8l,1075,509
000c30f6abd0adae,1750232210238476,1750232210252629,1750232210253047,2bf7522b66557d68,78239374e07f7110,/rate.Rate/GetRates,/rate.Rate/GetRates,rate,rate-56cb64b65-99rwt,search,search-77b68f9cd5-vls8l,608,418
000c30f6abd0adae,1750232210238476,1750232210251300,1750232210252375,60a142b318b0bc97,41cccabafd5ab285,/geo.Geo/Nearby,/search.Search/Nearby,search,search-77b68f9cd5-vls8l,search,search-77b68f9cd5-vls8l,1953,1075
000c30f6abd0adae,1750232210238476,1750232210252502,1750232210253110,60a142b318b0bc97,2bf7522b66557d68,/rate.Rate/GetRates,/search.Search/Nearby,search,search-77b68f9cd5-vls8l,search,search-77b68f9cd5-vls8l,1953,608
000c30f6abd0adae,1750232210238476,1750232210251194,1750232210253147,2445321522080596,60a142b318b0bc97,/search.Search/Nearby,/search.Search/Nearby,search,search-77b68f9cd5-vls8l,frontend,frontend-6777cd69cf-rms2b,2604,1953
000c30f6abd0adae,1750232210238476,1750232210253462,1750232210254407,4e07145d5c071dd8,39ea21b8c4b3d173,/reservation.Reservation/CheckAvailability,/reservation.Reservation/CheckAvailability,reservation,reservation-ddd467594-t79fz,frontend,frontend-6777cd69cf-rms2b,1159,945
000c30f6abd0adae,1750232210238476,1750232210254692,1750232210254881,61f38b78d6d02bf8,76dc254d8d8d0c97,/profile.Profile/GetProfiles,/profile.Profile/GetProfiles,profile,profile-78bcb7bd79-jg6tz,frontend,frontend-6777cd69cf-rms2b,68494,189
000c30f6abd0adae,1750232210238476,1750232210239258,1750232210241862,000c30f6abd0adae,2445321522080596,/search.Search/Nearby,HTTP GET /hotels,frontend,frontend-6777cd69cf-rms2b,frontend,frontend-6777cd69cf-rms2b,74005,2604
000c30f6abd0adae,1750232210238476,1750232210241924,1750232210243083,000c30f6abd0adae,4e07145d5c071dd8,/reservation.Reservation/CheckAvailability,HTTP GET /hotels,frontend,frontend-6777cd69cf-rms2b,frontend,frontend-6777cd69cf-rms2b,74005,1159
000c30f6abd0adae,1750232210238476,1750232210243145,1750232210311639,000c30f6abd0adae,61f38b78d6d02bf8,/profile.Profile/GetProfiles,HTTP GET /hotels,frontend,frontend-6777cd69cf-rms2b,frontend,frontend-6777cd69cf-rms2b,74005,68494
001a08d5ca9261c6,1750232190905181,1750232190919576,1750232190920405,05854560a354a5c8,068b2fc5ff34c4f6,/search.Search/Nearby,/search.Search/Nearby,search,search-77b68f9cd5-vls8l,frontend,frontend-6777cd69cf-rms2b,1190,829
001a08d5ca9261c6,1750232190905181,1750232190920644,1750232190920648,33b4a4aee692f0fc,21682544e9cb97e8,/reservation.Reservation/CheckAvailability,/reservation.Reservation/CheckAvailability,reservation,reservation-ddd467594-t79fz,frontend,frontend-6777cd69cf-rms2b,174,4
001a08d5ca9261c6,1750232190905181,1750232190920890,1750232190920986,7df26b064c4c2b4e,06a63ed72d464e6d,/profile.Profile/GetProfiles,/profile.Profile/GetProfiles,profile,profile-78bcb7bd79-jg6tz,frontend,frontend-6777cd69cf-rms2b,291,96
001a08d5ca9261c6,1750232190905181,1750232190905255,1750232190906445,001a08d5ca9261c6,05854560a354a5c8,/search.Search/Nearby,HTTP GET /hotels,frontend,frontend-6777cd69cf-rms2b,frontend,frontend-6777cd69cf-rms2b,1853,1190
001a08d5ca9261c6,1750232190905181,1750232190906480,1750232190906654,001a08d5ca9261c6,33b4a4aee692f0fc,/reservation.Reservation/CheckAvailability,HTTP GET /hotels,frontend,frontend-6777cd69cf-rms2b,frontend,frontend-6777cd69cf-rms2b,1853,174
001a08d5ca9261c6,1750232190905181,1750232190906714,1750232190907005,001a08d5ca9261c6,7df26b064c4c2b4e,/profile.Profile/GetProfiles,HTTP GET /hotels,frontend,frontend-6777cd69cf-rms2b,frontend,frontend-6777cd69cf-rms2b,1853,291
001a08d5ca9261c6,1750232190905181,1750232190905846,1750232190905973,2813369c500475b7,13086b1350c0542d,/geo.Geo/Nearby,/geo.Geo/Nearby,geo,geo-744fdcb64f-4t579,search,search-77b68f9cd5-vls8l,459,127
001a08d5ca9261c6,1750232190905181,1750232190920329,1750232190920334,10f6f7d2c11693ff,01153bbb9b09be97,/rate.Rate/GetRates,/rate.Rate/GetRates,rate,rate-56cb64b65-99rwt,search,search-77b68f9cd5-vls8l,244,5
001a08d5ca9261c6,1750232190905181,1750232190919696,1750232190920155,068b2fc5ff34c4f6,2813369c500475b7,/geo.Geo/Nearby,/search.Search/Nearby,search,search-77b68f9cd5-vls8l,search,search-77b68f9cd5-vls8l,829,459
001a08d5ca9261c6,1750232190905181,1750232190920158,1750232190920402,068b2fc5ff34c4f6,10f6f7d2c11693ff,/rate.Rate/GetRates,/search.Search/Nearby,search,search-77b68f9cd5-vls8l,search,search-77b68f9cd5-vls8l,829,244
003ed16c4f45357d,1750232202112124,1750232202112218,1750232202114740,003ed16c4f45357d,79398cac9dbd0b39,/search.Search/Nearby,HTTP GET /hotels,frontend,frontend-6777cd69cf-rms2b,frontend,frontend-6777cd69cf-rms2b,4361,2522
