arg_class_id,count,frequency
0,1266168,0.09202080528015963
1,948510,0.06893449685688172
2,5913,0.00042973682925297744
3,4553,0.00033089663175863457
4,4722,0.00034317897982962274
5,8301,0.0006032885877945147
6,14796,0.0010753232074458064
7,1759244,0.12785590029466007
8,47318,0.003438912106645085
9,22726,0.0016516487707767908
10,7864,0.0005715289066878767
11,1836,0.00013343426661736285
12,12081,0.0008780061955361441
13,3038,0.0002207915588145688
14,3791,0.0002755170505154807
15,156,1.1337552065527563e-05
16,8457,0.0006146261398600422
17,4701,0.0003416527708977248
18,8192,0.0005953668366718063
19,122,8.866547128168991e-06
20,7744,0.000562807712791317
21,5966,0.0004335886898906246
22,825,5.995820803884769e-05
23,2655,0.00019295641496138254
24,2192,0.0001593071418438232
25,8512,0.0006186233537292988
26,129,9.375283438801639e-06
27,927,6.73712228509234e-05
28,17,1.2355024686792856e-06
29,376,2.732640754255361e-05
30,9261,0.000673058138966992
31,5530,0.00040190168539979115
32,595,4.3242586403774995e-05
33,3679,0.0002673772695453583
34,7863,0.000571456230072072
35,6023,0.00043773125699149044
36,4447,0.0003231929104833402
37,2060,0.00014971382855760756
38,6213,0.00045153981399437656
39,6850,0.0004978348182619474
40,5217,0.00037915390465293136
41,6358,0.00046207792328605284
42,4657,0.0003384549998023196
43,4753,0.00034543195491956735
44,27509,0.001999261024170498
45,59079,0.004293661785123737
46,6099,0.0004432546797926449
47,1622773,0.11793764985918179
48,2292,0.00016657480342428956
49,430605,0.031294914148567284
50,2867,0.0002083638575119713
51,4170,0.0003030614879054483
52,3925,0.00028525571703330566
53,1106,8.038033707995824e-05
54,1168,8.488628725984739e-05
55,1691,0.0001228961573256866
56,989,7.187717303081255e-05
57,2385,0.00017333372869412331
58,1669,0.00012129727177798399
59,1710,0.0001242770130259752
60,3617,0.0002628713193654692
61,3130,0.0002274778074685979
62,1024,7.442085458397579e-05
63,1624,0.00011802682406677411
64,914,6.642642684546277e-05
65,1012,7.354873519431983e-05
66,949,6.897010839862601e-05
67,5984,0.00043489686897510855
68,5602,0.00040713440173772693
69,6288,0.0004569905601797264
70,4927,0.00035807768606957885
71,219,1.5916178861221384e-05
72,2379,0.00017289766899929531
73,3962,0.0002879447518180782
74,2278,0.00016555733080302428
75,3359,0.00024412075248786592
76,48,3.4884775586238654e-06
77,49,3.561154174428529e-06
78,654,4.7530506736250163e-05
79,809,5.8795382185973063e-05
80,1766,0.00012834690351103638
81,1703,0.00012376827671534255
82,1702,0.0001236956000995379
83,40805,0.002965569307909309
84,15989,0.0011620264101007704
85,1709,0.00012420433641017055
86,1438,0.00010450897352710664
87,1533,0.0001114132520285497
88,88628,0.006441183105535749
89,276009,0.02005940005162947
90,1769,0.00012856493335845038
91,1803,0.00013103593829580894
92,108,7.849074506903697e-06
93,1633,0.00011868091360901609
94,370,2.6890347847725628e-05
95,4198,0.0003050964331479789
96,30450,0.0022130029512520146
97,1508,0.00010959633663343311
98,25786,0.0018740392151390623
99,19811,0.0014397964357061959
100,2,1.4535323160932772e-07
101,18,1.3081790844839495e-06
102,130974,0.009518747078400044
103,1251,9.091844637163449e-05
104,370,2.6890347847725628e-05
105,6231,0.0004528479930788605
106,5746,0.00041759983441359854
107,6,4.360596948279832e-07
108,22610,0.00164321828334345
109,1968,0.00014302757990357847
110,14389,0.0010457438248133084
111,4268,0.00031018379625430534
112,4341,0.00031548918920804584
113,7013,0.0005096811066381076
114,564,4.098961131383042e-05
115,2236,0.0001625049129392284
116,1720,0.00012500377918402185
117,2945,0.00021403263354473508
118,2554,0.0001856160767651115
119,1547,0.000112430724649815
120,5116,0.0003718135664566603
121,6107,0.0004438360927190822
122,3669,0.0002666505033873117
123,3639,0.0002644702049131718
124,3527,0.00025633042394304943
125,1457,0.00010588982922739525
126,3606,0.0002620718765916179
127,447,3.248644726468475e-05
128,5780,0.0004200708393509571
129,5798,0.00042137901843544105
130,5143,0.00037377583508338625
131,6114,0.00044434482902971483
132,4346,0.0003158525722870691
133,94,6.831601885638403e-06
134,1211,8.801138173944794e-05
135,1206,8.764799866042462e-05
136,1251,9.091844637163449e-05
137,38894,0.002826684295106596
138,6908,0.000502050061978618
139,3943,0.0002865638961177896
140,1751,0.00012725675427396644
141,2351,0.00017086272375676473
142,371,2.696302446353029e-05
143,998,7.253126257305454e-05
144,520,3.779184021842521e-05
145,509,3.69923974445739e-05
146,1075,7.812736199001365e-05
147,1694,0.00012311418717310057
148,1433,0.00010414559044808332
149,90,6.540895422419747e-06
150,4137,0.0003006631595838944
151,3699,0.0002688308018614516
152,119,8.648517280755e-06
153,548,3.98267854609558e-05
154,3596,0.00026134511043357126
155,2,1.4535323160932772e-07
156,2431,0.00017667685302113784
157,2415,0.00017551402716826323
158,2412,0.00017529599732084923
159,5013,0.0003643278750287799
160,3357,0.0002439753992562566
161,30,2.1802984741399157e-06
162,1101,8.001695400093492e-05
163,1360,9.884019749434286e-05
164,95,6.904278501443067e-06
165,4044,0.00029390423431406066
166,867,6.301062590264357e-05
167,1115,8.103442662220021e-05
168,611,4.440541225664962e-05
169,578,4.200708393509571e-05
170,140,1.0174726212652941e-05
171,15,1.0901492370699579e-06
