graph_class_id,count,frequency
0,92778,0.006742791061125104
1,16991,0.0012348483791370436
2,6374,0.00046324074913892745
3,4549,0.0003306059252954159
4,4955,0.0003601126313121094
5,758,5.508887477993521e-05
6,8769,0.0006373012439910975
7,122042,0.008869599546032787
8,66856,0.004858867826236607
9,17725,0.001288193015137667
10,22726,0.0016516487707767908
11,2909,0.00021141627537576716
12,1836,0.00013343426661736285
13,586,4.258849686153302e-05
14,2346,0.00017049934067774142
15,8457,0.0006146261398600422
16,2737,0.000198915897457365
17,1965,0.0001428095500561645
18,8192,0.0005953668366718063
19,216,1.5698149013807395e-05
20,7704,0.0005599006481591304
21,825,5.995820803884769e-05
22,2653,0.00019281106172977324
23,5105,0.000371014123682809
24,8511,0.0006185506771134941
25,4136,0.0003005904829680897
26,274,1.99133927304779e-05
27,3420,0.0002485540260519504
28,83,6.0321591117871e-06
29,3308,0.00024041424508182806
30,538,3.910001930290916e-05
31,3142,0.00022834992685825386
32,595,4.3242586403774995e-05
33,3678,0.0002673045929295537
34,7220,0.0005247251661096731
35,6023,0.00043773125699149044
36,6135,0.0004458710379616128
37,4146,0.0003013172491261364
38,25143,0.0018273081511766636
39,10851,0.0007886139580964075
40,19554,0.0014211185454443972
41,6358,0.00046207792328605284
42,27507,0.0019991156709388887
43,59078,0.004293589108507931
44,189809,0.013794675769267442
45,30,2.1802984741399157e-06
46,1203029,0.08743207643486896
47,8095,0.000588317204938754
48,8093,0.0005881718517071447
49,15241,0.001107664301478882
50,14294,0.0010388395463118653
51,914,6.642642684546277e-05
52,3742,0.00027195589634105216
53,11890,0.0008641249619174533
54,423,3.074220848537282e-05
55,200,1.4535323160932773e-05
56,1286,9.346212792479773e-05
57,809,5.8795382185973063e-05
58,105854,0.007693110489386888
59,74290,0.0053991457881284784
60,168654,0.012257201961919779
61,15752,0.001144802052155065
62,13881,0.001008824103984539
63,172739,0.012554085937481831
64,9631,0.0006999484868147177
65,17311,0.001258104896194536
66,14599,0.0010610059141322877
67,8051,0.0005851194338433488
68,198473,0.014424345968599052
69,3118,0.00022660568807894192
70,1182,8.590375988111268e-05
71,304,2.2093691204617814e-05
72,19832,0.0014413226446380936
73,672,4.8838685820734115e-05
74,5234,0.00038038940712161064
75,1228,8.924688420812723e-05
76,257,1.867789026179861e-05
77,2524,0.0001834357782909716
78,7712,0.0005604820610855677
79,1297,9.426157069864903e-05
80,2515,0.00018278168874872962
81,1389,0.0001009478193526781
82,2133,0.00015501922151134803
83,2431,0.00017667685302113784
84,368,2.67449946161163e-05
85,883,6.417345175551819e-05
86,652,4.738515350464084e-05
87,30441,0.002212348861709773
88,5745,0.0004175271577977939
89,7727,0.0005615722103226377
90,39378,0.0028618597771560535
91,9479,0.0006889016412124087
92,5542,0.00040277380478944715
93,8607,0.0006255276322307419
94,13825,0.001004754213499478
95,126,9.157253591387646e-06
96,5651,0.0004106955559121555
97,15360,0.0011163128187596369
98,3161,0.00022973078255854247
99,21836,0.0015869665827106401
100,14441,0.0010495230088351508
101,1456,0.00010581715261159058
102,1946,0.00014142869435587589
103,11645,0.0008463191910453106
104,16470,0.0011969838623028138
105,9154,0.000665281741075893
106,4141,0.00030095386604711306
107,469,3.408533281238735e-05
108,2042,0.0001484056494731236
109,844,6.13390637391363e-05
110,21544,0.0015657450108956781
111,1864,0.00013546921185989344
112,2025,0.00014717014700444433
113,255289,0.018553540572156833
114,2861,0.0002079277978171433
115,7294,0.0005301032356792182
116,3897,0.00028322077179077505
117,7950,0.0005777790956470777
118,149,1.0828815754894915e-05
119,4416,0.0003209399353933956
120,311,2.260242751525046e-05
121,8759,0.0006365744778330508
122,5013,0.0003643278750287799
123,329,2.391060659973441e-05
124,2732,0.00019855251437834168
125,12061,0.0008765526632200509
126,4374,0.00031788751752959973
127,850,6.177512343396429e-05
128,461,3.350391988595004e-05
129,367,2.667231800031164e-05
130,1693,0.0001230415105572959
131,431,3.132362141181012e-05
132,33918,0.002465045454862589
133,30754,0.0022350966424566324
134,3433,0.00024949882205741104
135,611,4.440541225664962e-05
136,1986,0.00014433575898806244
137,140,1.0174726212652941e-05
138,4930,0.00035829571591699285
139,2453,0.00017827573856884045
140,40954,0.0029763981236642038
141,180535,0.01312067283429499
142,46846,0.0034046087439852835
143,39845,0.0028957997567368317
144,195385,0.014199920578994248
145,92863,0.0067489685734685
146,16220,0.0011788147083516478
147,6207,0.0004511037542995486
148,111559,0.008107730582552496
149,398128,0.028934595697079214
150,2324,0.0001689004551300388
151,24775,0.0018005631565605471
152,25438,0.0018487477528390393
153,258,1.8750566877603278e-05
154,45880,0.003334403133117978
155,651937,0.047380574877845145
156,82,5.959482495982437e-06
157,1699,0.0001234775702521239
158,3063,0.00022260847420968542
159,1603,0.00011650061513487617
160,3189,0.00023176572780107306
161,98,7.122308348857058e-06
162,91784,0.006670550505015268
163,837,6.0830327428503654e-05
164,1336,9.709595871503092e-05
165,16785,0.001219876996281283
166,3514,0.0002553856279375888
167,76022,0.005525021686702156
168,2401,0.00017449655454699793
169,3258,0.00023678041429159487
170,6836,0.0004968173456406822
171,16874,0.001226345215087898
172,2190,0.00015916178861221386
173,3720,0.00027035701079334954
174,181,1.315446746064416e-05
175,1592,0.00011570117236102486
176,2591,0.00018830511154988407
177,861,6.257456620781558e-05
178,919,6.67898099244861e-05
179,2592,0.00018837778816568874
180,2690,0.0001955000965145458
181,7340,0.0005334463600062328
182,90872,0.006604269431401415
183,16,1.1628258528746217e-06
184,2222,0.0001614874403179631
185,427,3.103291494859147e-05
186,3131,0.00022755048408440256
187,12768,0.0009279350305939482
188,23971,0.0017421311574535975
189,16759,0.0012179874042703616
190,4932,0.0003584410691486022
191,2794,0.00020305846455823083
192,402,2.9215999553474872e-05
193,31,2.25297508994458e-06
194,216,1.5698149013807395e-05
195,298,2.165763150978983e-05
196,348,2.5291462300023023e-05
