parentMS,childMS,parentOperation,childOperation,tag,service
ts-seat-service,ts-travel-service,GET,getTrainTypeByTripId,1.1.14.1.3.1,Booking
ts-travel-service,ts-travel-service,getTrainTypeByTripId,POST,1.1.14.1.3.1.1,Booking
ts-travel-service,ts-train-service,POST,retrieve,1.1.14.1.3.1.1.1,Booking
ts-seat-service,ts-seat-service,getLeftTicketOfInterval,POST,1.1.14.1.4,Booking
ts-seat-service,ts-config-service,POST,query,1.1.14.1.4.1,Booking
ts-travel-service,ts-travel-service,query,POST,1.1.15,Booking
ts-travel-service,ts-ticketinfo-service,POST,queryForStationId,1.1.15.1,Booking
ts-ticketinfo-service,ts-ticketinfo-service,queryForStationId,POST,1.1.15.1.1,Booking
ts-ticketinfo-service,ts-basic-service,POST,queryForStationId,1.1.15.1.1.1,Booking
ts-basic-service,ts-basic-service,queryForStationId,POST,1.1.15.1.1.1.1,Booking
ts-basic-service,ts-station-service,POST,queryForId,1.1.15.1.1.1.1.1,Booking
ts-travel-service,ts-travel-service,query,POST,1.1.16,Booking
ts-travel-service,ts-ticketinfo-service,POST,queryForStationId,1.1.16.1,Booking
ts-ticketinfo-service,ts-ticketinfo-service,queryForStationId,POST,1.1.16.1.1,Booking
ts-ticketinfo-service,ts-basic-service,POST,queryForStationId,1.1.16.1.1.1,Booking
ts-basic-service,ts-basic-service,queryForStationId,POST,1.1.16.1.1.1.1,Booking
ts-basic-service,ts-station-service,POST,queryForId,1.1.16.1.1.1.1.1,Booking
ts-travel-service,ts-travel-service,query,POST,1.1.17,Booking
ts-travel-service,ts-seat-service,POST,getLeftTicketOfInterval,1.1.17.1,Booking
ts-seat-service,ts-seat-service,getLeftTicketOfInterval,GET,1.1.17.1.1,Booking
ts-seat-service,ts-travel-service,GET,getRouteByTripId,1.1.17.1.1.1,Booking
ts-travel-service,ts-travel-service,getRouteByTripId,GET,1.1.17.1.1.1.1,Booking
ts-travel-service,ts-route-service,GET,queryById,1.1.17.1.1.1.1.1,Booking
ts-seat-service,ts-seat-service,getLeftTicketOfInterval,POST,1.1.17.1.2,Booking
ts-seat-service,ts-order-service,POST,getTicketListByDateAndTripId,1.1.17.1.2.1,Booking
ts-seat-service,ts-seat-service,getLeftTicketOfInterval,GET,1.1.17.1.3,Booking
ts-seat-service,ts-travel-service,GET,getTrainTypeByTripId,1.1.17.1.3.1,Booking
ts-travel-service,ts-travel-service,getTrainTypeByTripId,POST,1.1.17.1.3.1.1,Booking
ts-travel-service,ts-train-service,POST,retrieve,1.1.17.1.3.1.1.1,Booking
ts-seat-service,ts-seat-service,getLeftTicketOfInterval,POST,1.1.17.1.4,Booking
ts-seat-service,ts-config-service,POST,query,1.1.17.1.4.1,Booking
ts-travel-service,ts-travel-service,query,POST,1.1.18,Booking
ts-travel-service,ts-train-service,POST,retrieve,1.1.18.1,Booking
