arg_class_id,count,frequency
0,1266168,0.0920208052801596
1,948510,0.0689344968568817
7,1759244,0.12785590029466
47,1622773,0.1179376498591817
49,430605,0.0312949141485672
89,276009,0.0200594000516294
244,1795801,0.1305127393386311
1495,301627,0.0219212295953133
