traceId,traceTime,startTime,endTime,parentId,childId,childOperation,parentOperation,childMS,childPod,parentMS,parentPod,parentDuration,childDuration
00065b5e9a36858c,1754548282399611,1754548282468292,1754548282469166,62d1fcd2d841be0b,25452972a8c30018,/search.Search/Nearby,/search.Search/Nearby,search,search-77b68f9cd5-mc98w,frontend,frontend-6777cd69cf-gxxs8,196888,874
00065b5e9a36858c,1754548282399611,1754548282468530,1754548282468936,2e533c2aecc4394c,5d209dfd6e957f9c,/geo.Geo/Nearby,/geo.Geo/Nearby,geo,geo-744fdcb64f-t6wwv,search,search-77b68f9cd5-mc98w,598,406
00065b5e9a36858c,1754548282399611,1754548282469094,1754548282469096,37b99e66aed4fb02,66bdecae73801f3f,/rate.Rate/GetRates,/rate.Rate/GetRates,rate,rate-56cb64b65-cct5w,search,search-77b68f9cd5-mc98w,171,2
00065b5e9a36858c,1754548282399611,1754548282468392,1754548282468990,25452972a8c30018,2e533c2aecc4394c,/geo.Geo/Nearby,/search.Search/Nearby,search,search-77b68f9cd5-mc98w,search,search-77b68f9cd5-mc98w,874,598
00065b5e9a36858c,1754548282399611,1754548282468993,1754548282469164,25452972a8c30018,37b99e66aed4fb02,/rate.Rate/GetRates,/search.Search/Nearby,search,search-77b68f9cd5-mc98w,search,search-77b68f9cd5-mc98w,874,171
00065b5e9a36858c,1754548282399611,1754548282569675,1754548282569694,7d142ad999cf1e20,6fbcbfc225a2a687,/reservation.Reservation/CheckAvailability,/reservation.Reservation/CheckAvailability,reservation,reservation-ddd467594-2mpdq,frontend,frontend-6777cd69cf-gxxs8,99081,19
00065b5e9a36858c,1754548282399611,1754548282668395,1754548282668455,0c583dc019c910fa,795778b63b703f61,/profile.Profile/GetProfiles,/profile.Profile/GetProfiles,profile,profile-78bcb7bd79-twjbd,frontend,frontend-6777cd69cf-gxxs8,1048,60
00065b5e9a36858c,1754548282399611,1754548282400004,1754548282596892,00065b5e9a36858c,62d1fcd2d841be0b,/search.Search/Nearby,HTTP GET /hotels,frontend,frontend-6777cd69cf-gxxs8,frontend,frontend-6777cd69cf-gxxs8,297727,196888
00065b5e9a36858c,1754548282399611,1754548282597113,1754548282696194,00065b5e9a36858c,7d142ad999cf1e20,/reservation.Reservation/CheckAvailability,HTTP GET /hotels,frontend,frontend-6777cd69cf-gxxs8,frontend,frontend-6777cd69cf-gxxs8,297727,99081
00065b5e9a36858c,1754548282399611,1754548282696249,1754548282697297,00065b5e9a36858c,0c583dc019c910fa,/profile.Profile/GetProfiles,HTTP GET /hotels,frontend,frontend-6777cd69cf-gxxs8,frontend,frontend-6777cd69cf-gxxs8,297727,1048
0006fd71ee833889,1754548310496538,1754548310568970,1754548310574596,2fb004e29d91259d,62bd1573d4202396,/search.Search/Nearby,/search.Search/Nearby,search,search-77b68f9cd5-mc98w,frontend,frontend-6777cd69cf-gxxs8,105523,5626
0006fd71ee833889,1754548310496538,1754548310570070,1754548310571861,28df3a233ac501cb,73a54d6faca8b167,/geo.Geo/Nearby,/geo.Geo/Nearby,geo,geo-744fdcb64f-t6wwv,search,search-77b68f9cd5-mc98w,2580,1791
0006fd71ee833889,1754548310496538,1754548310573271,1754548310574496,34c2d2ba3567fbe9,088ebd243dfd35d7,/rate.Rate/GetRates,/rate.Rate/GetRates,rate,rate-56cb64b65-cct5w,search,search-77b68f9cd5-mc98w,1818,1225
0006fd71ee833889,1754548310496538,1754548310569528,1754548310572108,62bd1573d4202396,28df3a233ac501cb,/geo.Geo/Nearby,/search.Search/Nearby,search,search-77b68f9cd5-mc98w,search,search-77b68f9cd5-mc98w,5626,2580
0006fd71ee833889,1754548310496538,1754548310572746,1754548310574564,62bd1573d4202396,34c2d2ba3567fbe9,/rate.Rate/GetRates,/search.Search/Nearby,search,search-77b68f9cd5-mc98w,search,search-77b68f9cd5-mc98w,5626,1818
0006fd71ee833889,1754548310496538,1754548310574860,1754548310577028,27cbd26531a17e48,0e67d15934186433,/reservation.Reservation/CheckAvailability,/reservation.Reservation/CheckAvailability,reservation,reservation-ddd467594-2mpdq,frontend,frontend-6777cd69cf-gxxs8,15153,2168
0006fd71ee833889,1754548310496538,1754548310590154,1754548310590409,357100acac705864,23750cd6ee2da2a0,/profile.Profile/GetProfiles,/profile.Profile/GetProfiles,profile,profile-78bcb7bd79-twjbd,frontend,frontend-6777cd69cf-gxxs8,853,255
0006fd71ee833889,1754548310496538,1754548310496991,1754548310602514,0006fd71ee833889,2fb004e29d91259d,/search.Search/Nearby,HTTP GET /hotels,frontend,frontend-6777cd69cf-gxxs8,frontend,frontend-6777cd69cf-gxxs8,122149,105523
0006fd71ee833889,1754548310496538,1754548310602588,1754548310617741,0006fd71ee833889,27cbd26531a17e48,/reservation.Reservation/CheckAvailability,HTTP GET /hotels,frontend,frontend-6777cd69cf-gxxs8,frontend,frontend-6777cd69cf-gxxs8,122149,15153
0006fd71ee833889,1754548310496538,1754548310617799,1754548310618652,0006fd71ee833889,357100acac705864,/profile.Profile/GetProfiles,HTTP GET /hotels,frontend,frontend-6777cd69cf-gxxs8,frontend,frontend-6777cd69cf-gxxs8,122149,853
001122fb05ec2675,1754548370396770,1754548370369588,1754548370387108,128ee8205ba4829d,32b13e7ca457a050,/search.Search/Nearby,/search.Search/Nearby,search,search-77b68f9cd5-mc98w,frontend,frontend-6777cd69cf-gxxs8,17733,17520
001122fb05ec2675,1754548370396770,1754548370387413,1754548370388403,060c0e7eb6506875,24222dba273d54e2,/reservation.Reservation/CheckAvailability,/reservation.Reservation/CheckAvailability,reservation,reservation-ddd467594-2mpdq,frontend,frontend-6777cd69cf-gxxs8,81620,990
001122fb05ec2675,1754548370396770,1754548370469592,1754548370470023,08a54901b9b4d775,3ba3efd46bbb3b20,/profile.Profile/GetProfiles,/profile.Profile/GetProfiles,profile,profile-78bcb7bd79-twjbd,frontend,frontend-6777cd69cf-gxxs8,1132,431
001122fb05ec2675,1754548370396770,1754548370396819,1754548370414552,001122fb05ec2675,128ee8205ba4829d,/search.Search/Nearby,HTTP GET /hotels,frontend,frontend-6777cd69cf-gxxs8,frontend,frontend-6777cd69cf-gxxs8,100796,17733
001122fb05ec2675,1754548370396770,1754548370414625,1754548370496245,001122fb05ec2675,060c0e7eb6506875,/reservation.Reservation/CheckAvailability,HTTP GET /hotels,frontend,frontend-6777cd69cf-gxxs8,frontend,frontend-6777cd69cf-gxxs8,100796,81620
001122fb05ec2675,1754548370396770,1754548370496374,1754548370497506,001122fb05ec2675,08a54901b9b4d775,/profile.Profile/GetProfiles,HTTP GET /hotels,frontend,frontend-6777cd69cf-gxxs8,frontend,frontend-6777cd69cf-gxxs8,100796,1132
001122fb05ec2675,1754548370396770,1754548370369940,1754548370370321,0ca546ef0efa4d5a,54a3e62e7e1c75aa,/geo.Geo/Nearby,/geo.Geo/Nearby,geo,geo-744fdcb64f-t6wwv,search,search-77b68f9cd5-mc98w,710,381
001122fb05ec2675,1754548370396770,1754548370370786,1754548370371288,21d8562f66e13eda,4a83c56addc9177f,/rate.Rate/GetRates,/rate.Rate/GetRates,rate,rate-56cb64b65-cct5w,search,search-77b68f9cd5-mc98w,16355,502
001122fb05ec2675,1754548370396770,1754548370369728,1754548370370438,32b13e7ca457a050,0ca546ef0efa4d5a,/geo.Geo/Nearby,/search.Search/Nearby,search,search-77b68f9cd5-mc98w,search,search-77b68f9cd5-mc98w,17520,710
001122fb05ec2675,1754548370396770,1754548370370681,1754548370387036,32b13e7ca457a050,21d8562f66e13eda,/rate.Rate/GetRates,/search.Search/Nearby,search,search-77b68f9cd5-mc98w,search,search-77b68f9cd5-mc98w,17520,16355
001c4efa49896d85,1754548279496610,1754548279670868,1754548279705339,7e290c5d9f02fcc2,3c979f327a7ceef3,/geo.Geo/Nearby,/geo.Geo/Nearby,geo,geo-744fdcb64f-t6wwv,search,search-77b68f9cd5-mc98w,94921,34471
001c4efa49896d85,1754548279496610,1754548279765602,1754548279765615,13be60c92bd424e8,7ecd68d35ba86ccf,/rate.Rate/GetRates,/rate.Rate/GetRates,rate,rate-56cb64b65-cct5w,search,search-77b68f9cd5-mc98w,1045,13
001c4efa49896d85,1754548279496610,1754548279670021,1754548279764942,22be79698377f58d,7e290c5d9f02fcc2,/geo.Geo/Nearby,/search.Search/Nearby,search,search-77b68f9cd5-mc98w,search,search-77b68f9cd5-mc98w,97182,94921
001c4efa49896d85,1754548279496610,1754548279764961,1754548279766006,22be79698377f58d,13be60c92bd424e8,/rate.Rate/GetRates,/search.Search/Nearby,search,search-77b68f9cd5-mc98w,search,search-77b68f9cd5-mc98w,97182,1045
001c4efa49896d85,1754548279496610,1754548279668838,1754548279766020,35cdac0e3af55dbf,22be79698377f58d,/search.Search/Nearby,/search.Search/Nearby,search,search-77b68f9cd5-mc98w,frontend,frontend-6777cd69cf-gxxs8,200832,97182
001c4efa49896d85,1754548279496610,1754548279769897,1754548279769901,51857a437803087d,533bddc32ec4eca9,/reservation.Reservation/CheckAvailability,/reservation.Reservation/CheckAvailability,reservation,reservation-ddd467594-2mpdq,frontend,frontend-6777cd69cf-gxxs8,198577,4
001c4efa49896d85,1754548279496610,1754548279968824,1754548279968933,5bdba9f9c03c7b1e,7ab6c23a6562600e,/profile.Profile/GetProfiles,/profile.Profile/GetProfiles,profile,profile-78bcb7bd79-twjbd,frontend,frontend-6777cd69cf-gxxs8,199811,109
001c4efa49896d85,1754548279496610,1754548279596030,1754548279796862,001c4efa49896d85,35cdac0e3af55dbf,/search.Search/Nearby,HTTP GET /hotels,frontend,frontend-6777cd69cf-gxxs8,frontend,frontend-6777cd69cf-gxxs8,699877,200832
001c4efa49896d85,1754548279496610,1754548279797575,1754548279996152,001c4efa49896d85,51857a437803087d,/reservation.Reservation/CheckAvailability,HTTP GET /hotels,frontend,frontend-6777cd69cf-gxxs8,frontend,frontend-6777cd69cf-gxxs8,699877,198577
001c4efa49896d85,1754548279496610,1754548279996484,1754548280196295,001c4efa49896d85,5bdba9f9c03c7b1e,/profile.Profile/GetProfiles,HTTP GET /hotels,frontend,frontend-6777cd69cf-gxxs8,frontend,frontend-6777cd69cf-gxxs8,699877,199811
002b64d1bdaeb160,1754548258979217,1754548258951677,1754548258952055,490cfb8ca2522876,73bfa86e98c00dda,/geo.Geo/Nearby,/search.Search/Nearby,search,search-77b68f9cd5-mc98w,search,search-77b68f9cd5-mc98w,617,378
002b64d1bdaeb160,1754548258979217,1754548258952058,1754548258952207,490cfb8ca2522876,0f254c04465aba5b,/rate.Rate/GetRates,/search.Search/Nearby,search,search-77b68f9cd5-mc98w,search,search-77b68f9cd5-mc98w,617,149
002b64d1bdaeb160,1754548258979217,1754548258951786,1754548258951997,73bfa86e98c00dda,54d9b3f222266600,/geo.Geo/Nearby,/geo.Geo/Nearby,geo,geo-744fdcb64f-t6wwv,search,search-77b68f9cd5-mc98w,378,211
002b64d1bdaeb160,1754548258979217,1754548258952150,1754548258952152,0f254c04465aba5b,0594f22080973bd8,/rate.Rate/GetRates,/rate.Rate/GetRates,rate,rate-56cb64b65-cct5w,search,search-77b68f9cd5-mc98w,149,2
