fit_pars,ml_pars,kl_fit,kl_ml,workloadPerPod,latency_range,skew,data_num,p95
1.0,0.05111937695441057,3.8967322673800766e-05,2.6103517861946607e-05,9.9,0.001___4301.796,0.001,100,64.45874999999985
1.0,0.023773912529062385,0.0002488751356276185,0.0021160877896011982,19.8,0.001___2487.702,0.001,100,199.85139999999998
