traceId,traceTime,startTime,endTime,parentId,childId,childOperation,parentOperation,childMS,childPod,parentMS,parentPod,parentDuration,childDuration
0019128ec5ae9690,1750232658501947,1750232658469527,1750232658471023,37022fa8837dc76c,41425e9e774acd92,/search.Search/Nearby,/search.Search/Nearby,search,search-77b68f9cd5-vls8l,frontend,frontend-6777cd69cf-rms2b,1805,1496
0019128ec5ae9690,1750232658501947,1750232658568535,1750232658595545,0afc7d45a1580ad8,71fed7884ab5b770,/reservation.Reservation/CheckAvailability,/reservation.Reservation/CheckAvailability,reservation,reservation-ddd467594-t79fz,frontend,frontend-6777cd69cf-rms2b,197191,27010
0019128ec5ae9690,1750232658501947,1750232658669618,1750232658670630,4a90c64a758681b8,42a6b7622ea245c2,/profile.Profile/GetProfiles,/profile.Profile/GetProfiles,profile,profile-78bcb7bd79-jg6tz,frontend,frontend-6777cd69cf-rms2b,2575,1012
0019128ec5ae9690,1750232658501947,1750232658502038,1750232658503843,0019128ec5ae9690,37022fa8837dc76c,/search.Search/Nearby,HTTP GET /hotels,frontend,frontend-6777cd69cf-rms2b,frontend,frontend-6777cd69cf-rms2b,202363,1805
0019128ec5ae9690,1750232658501947,1750232658503894,1750232658701085,0019128ec5ae9690,0afc7d45a1580ad8,/reservation.Reservation/CheckAvailability,HTTP GET /hotels,frontend,frontend-6777cd69cf-rms2b,frontend,frontend-6777cd69cf-rms2b,202363,197191
0019128ec5ae9690,1750232658501947,1750232658701457,1750232658704032,0019128ec5ae9690,4a90c64a758681b8,/profile.Profile/GetProfiles,HTTP GET /hotels,frontend,frontend-6777cd69cf-rms2b,frontend,frontend-6777cd69cf-rms2b,202363,2575
0019128ec5ae9690,1750232658501947,1750232658502533,1750232658502807,6f76915af892b559,0cf7c2523e4bc595,/geo.Geo/Nearby,/geo.Geo/Nearby,geo,geo-744fdcb64f-4t579,search,search-77b68f9cd5-vls8l,520,274
0019128ec5ae9690,1750232658501947,1750232658470439,1750232658470925,3bb253d4779f6bad,116f4231759f08ff,/rate.Rate/GetRates,/rate.Rate/GetRates,rate,rate-56cb64b65-99rwt,search,search-77b68f9cd5-vls8l,751,486
0019128ec5ae9690,1750232658501947,1750232658469611,1750232658470131,41425e9e774acd92,6f76915af892b559,/geo.Geo/Nearby,/search.Search/Nearby,search,search-77b68f9cd5-vls8l,search,search-77b68f9cd5-vls8l,1496,520
0019128ec5ae9690,1750232658501947,1750232658470244,1750232658470995,41425e9e774acd92,3bb253d4779f6bad,/rate.Rate/GetRates,/search.Search/Nearby,search,search-77b68f9cd5-vls8l,search,search-77b68f9cd5-vls8l,1496,751
0029ceb695c6767e,1750232638902541,1750232638871737,1750232638873586,022766e8afacba37,03925fb94e830c16,/search.Search/Nearby,/search.Search/Nearby,search,search-77b68f9cd5-vls8l,frontend,frontend-6777cd69cf-rms2b,2424,1849
0029ceb695c6767e,1750232638902541,1750232638892949,1750232638892953,486804e0a5503790,15dc6576f2993997,/reservation.Reservation/CheckAvailability,/reservation.Reservation/CheckAvailability,reservation,reservation-ddd467594-t79fz,frontend,frontend-6777cd69cf-rms2b,19907,4
0029ceb695c6767e,1750232638902541,1750232638894631,1750232638894698,51a63282ca1fd6fa,55d6da64bc2c449d,/profile.Profile/GetProfiles,/profile.Profile/GetProfiles,profile,profile-78bcb7bd79-jg6tz,frontend,frontend-6777cd69cf-rms2b,1274,67
0029ceb695c6767e,1750232638902541,1750232638902629,1750232638905053,0029ceb695c6767e,022766e8afacba37,/search.Search/Nearby,HTTP GET /hotels,frontend,frontend-6777cd69cf-rms2b,frontend,frontend-6777cd69cf-rms2b,24321,2424
0029ceb695c6767e,1750232638902541,1750232638905082,1750232638924989,0029ceb695c6767e,486804e0a5503790,/reservation.Reservation/CheckAvailability,HTTP GET /hotels,frontend,frontend-6777cd69cf-rms2b,frontend,frontend-6777cd69cf-rms2b,24321,19907
0029ceb695c6767e,1750232638902541,1750232638925430,1750232638926704,0029ceb695c6767e,51a63282ca1fd6fa,/profile.Profile/GetProfiles,HTTP GET /hotels,frontend,frontend-6777cd69cf-rms2b,frontend,frontend-6777cd69cf-rms2b,24321,1274
0029ceb695c6767e,1750232638902541,1750232638904013,1750232638904237,13bc5dbbb9a86863,2a41685691f59bbc,/geo.Geo/Nearby,/geo.Geo/Nearby,geo,geo-744fdcb64f-4t579,search,search-77b68f9cd5-vls8l,783,224
0029ceb695c6767e,1750232638902541,1750232638873517,1750232638873523,408b6979c1bcde8a,2b91013478953460,/rate.Rate/GetRates,/rate.Rate/GetRates,rate,rate-56cb64b65-99rwt,search,search-77b68f9cd5-vls8l,465,6
0029ceb695c6767e,1750232638902541,1750232638872318,1750232638873101,03925fb94e830c16,13bc5dbbb9a86863,/geo.Geo/Nearby,/search.Search/Nearby,search,search-77b68f9cd5-vls8l,search,search-77b68f9cd5-vls8l,1849,783
