fit_pars,ml_pars,kl_fit,kl_ml,workloadPerPod,latency_range,skew,data_num,p95
3.3911700797685507,3.2757228626758215,0.0026206988285834907,0.0025183545465833975,450.0,0.546___4.995,0.546,100,1.1173000000000002
2.872373536138184,2.7540326421478305,0.0024337222649692286,0.0023468553675858313,900.0,0.533___9.064,0.533,100,1.19225
