microservice_x,pod,median,latency,microservice_y,cpuUsage,microservice,memUsage,repeat,service,cpuInter,memInter,targetReqFreq,reqFreq
search,search-746c9c4bcd-6jqsb,326.5,787.75,,,,,0,Search,0.0,0.0,15,17.833333333333332
geo,geo-6fb5d946f4-f62hr,258.5,966.3000000000004,,,,,0,Search,0.0,0.0,15,17.833333333333332
profile,profile-85f96b4944-8w5lv,201.0,464.0,,,,,0,Search,0.0,0.0,15,17.833333333333332
rate,rate-858b9c56b6-9xr7x,432.5,1343.0,,,,,0,Search,0.0,0.0,15,17.833333333333332
reservation,reservation-7bb589bc47-chrp5,27.5,2663.0,,,,,0,Search,0.0,0.0,15,17.833333333333332
reservation,reservation-7bb589bc47-f5w22,346.5,2733.4499999999966,,,,,0,Search,0.0,0.0,15,17.833333333333332
reservation,reservation-7bb589bc47-pdfx4,275.0,3380.899999999998,,,,,0,Search,0.0,0.0,15,17.833333333333332
frontend,frontend-869d96cc79-82gd2,305.0,586.0,,,,,0,Search,0.0,0.0,18,21.4
frontend,frontend-869d96cc79-f9gzk,308.0,705.2999999999995,,,,,0,Search,0.0,0.0,18,21.4
frontend,frontend-869d96cc79-j2vpj,353.0,692.65,,,,,0,Search,0.0,0.0,18,21.4
frontend,frontend-869d96cc79-j5j6z,348.0,593.0,,,,,0,Search,0.0,0.0,18,21.4
frontend,frontend-869d96cc79-nwd6w,391.0,19537.599999999846,,,,,0,Search,0.0,0.0,18,21.4
frontend,frontend-869d96cc79-p65q4,407.0,788.9999999999987,,,,,0,Search,0.0,0.0,18,21.4
search,search-746c9c4bcd-47s42,310.0,830.6999999999979,,,,,0,Search,0.0,0.0,18,21.4
search,search-746c9c4bcd-6jqsb,305.0,631.0,,,,,0,Search,0.0,0.0,18,21.4
geo,geo-6fb5d946f4-f62hr,275.0,891.0,,,,,0,Search,0.0,0.0,18,21.4
profile,profile-85f96b4944-8w5lv,221.0,510.9,,,,,0,Search,0.0,0.0,18,21.4
rate,rate-858b9c56b6-9xr7x,407.0,1209.8999999999996,,,,,0,Search,0.0,0.0,18,21.4
reservation,reservation-7bb589bc47-chrp5,1009.0,3176.5999999999985,,,,,0,Search,0.0,0.0,18,21.4
reservation,reservation-7bb589bc47-f5w22,126.5,3529.35,,,,,0,Search,0.0,0.0,18,21.4
reservation,reservation-7bb589bc47-pdfx4,298.0,2753.0,,,,,0,Search,0.0,0.0,18,21.4
frontend,frontend-869d96cc79-82gd2,315.0,695.0,,,,,0,Search,0.0,0.0,21,24.966666666666665
frontend,frontend-869d96cc79-f9gzk,428.0,765.75,,,,,0,Search,0.0,0.0,21,24.966666666666665
frontend,frontend-869d96cc79-j2vpj,439.5,728.599999999999,,,,,0,Search,0.0,0.0,21,24.966666666666665
frontend,frontend-869d96cc79-j5j6z,356.0,707.1999999999997,,,,,0,Search,0.0,0.0,21,24.966666666666665
frontend,frontend-869d96cc79-nwd6w,353.0,722.0,,,,,0,Search,0.0,0.0,21,24.966666666666665
frontend,frontend-869d96cc79-p65q4,309.0,997.0,,,,,0,Search,0.0,0.0,21,24.966666666666665
search,search-746c9c4bcd-47s42,310.0,714.2499999999998,,,,,0,Search,0.0,0.0,21,24.966666666666665
search,search-746c9c4bcd-6jqsb,317.0,841.0,,,,,0,Search,0.0,0.0,21,24.966666666666665
geo,geo-6fb5d946f4-f62hr,275.0,941.1999999999991,,,,,0,Search,0.0,0.0,21,24.966666666666665
profile,profile-85f96b4944-8w5lv,196.0,555.0,,,,,0,Search,0.0,0.0,21,24.966666666666665
rate,rate-858b9c56b6-9xr7x,384.0,1152.35,,,,,0,Search,0.0,0.0,21,24.966666666666665
reservation,reservation-7bb589bc47-chrp5,297.5,2924.25,,,,,0,Search,0.0,0.0,21,24.966666666666665
reservation,reservation-7bb589bc47-f5w22,17.0,2806.2000000000007,,,,,0,Search,0.0,0.0,21,24.966666666666665
reservation,reservation-7bb589bc47-pdfx4,313.0,2823.999999999998,,,,,0,Search,0.0,0.0,21,24.966666666666665
frontend,frontend-869d96cc79-82gd2,343.0,750.0,,,,,0,Search,0.0,0.0,24,28.533333333333335
frontend,frontend-869d96cc79-f9gzk,355.0,716.0,,,,,0,Search,0.0,0.0,24,28.533333333333335
frontend,frontend-869d96cc79-j2vpj,315.5,714.2499999999997,,,,,0,Search,0.0,0.0,24,28.533333333333335
frontend,frontend-869d96cc79-j5j6z,343.0,697.0,,,,,0,Search,0.0,0.0,24,28.533333333333335
frontend,frontend-869d96cc79-nwd6w,379.0,650.0,,,,,0,Search,0.0,0.0,24,28.533333333333335
frontend,frontend-869d96cc79-p65q4,385.0,830.7499999999994,,,,,0,Search,0.0,0.0,24,28.533333333333335
search,search-746c9c4bcd-47s42,324.0,3449.5,,,,,0,Search,0.0,0.0,24,28.533333333333335
search,search-746c9c4bcd-6jqsb,303.5,973.7999999999979,,,,,0,Search,0.0,0.0,24,28.533333333333335
geo,geo-6fb5d946f4-f62hr,298.5,1077.0,,,,,0,Search,0.0,0.0,24,28.533333333333335
profile,profile-85f96b4944-8w5lv,231.0,552.0,,,,,0,Search,0.0,0.0,24,28.533333333333335
rate,rate-858b9c56b6-9xr7x,423.0,1223.1999999999998,,,,,0,Search,0.0,0.0,24,28.533333333333335
reservation,reservation-7bb589bc47-chrp5,231.0,3145.599999999996,,,,,0,Search,0.0,0.0,24,28.533333333333335
reservation,reservation-7bb589bc47-f5w22,264.5,3901.499999999999,,,,,0,Search,0.0,0.0,24,28.533333333333335
reservation,reservation-7bb589bc47-pdfx4,629.0,4084.799999999999,,,,,0,Search,0.0,0.0,24,28.533333333333335
frontend,frontend-869d96cc79-82gd2,376.0,781.5,,,,,0,Search,0.0,0.0,27,32.1
