traceId,traceTime,startTime,endTime,parentId,childId,childOperation,parentOperation,childMS,childPod,parentMS,parentPod,parentDuration,childDuration
00006e1adce63cf7,1750237230604635,1750237230608442,1750237230609117,2c42d7704faadf4f,764e57ef695d47a3,/search.Search/Nearby,/search.Search/Nearby,search,search-77b68f9cd5-vls8l,frontend,frontend-6777cd69cf-rms2b,24668,675
00006e1adce63cf7,1750237230604635,1750237230668094,1750237230668098,738173aece0d59ea,72ec2eed8be626b4,/reservation.Reservation/CheckAvailability,/reservation.Reservation/CheckAvailability,reservation,reservation-ddd467594-t79fz,frontend,frontend-6777cd69cf-rms2b,58979,4
00006e1adce63cf7,1750237230604635,1750237230668435,1750237230668588,70462c4aa1a67c1a,35adb6d4e1493e4b,/profile.Profile/GetProfiles,/profile.Profile/GetProfiles,profile,profile-78bcb7bd79-jg6tz,frontend,frontend-6777cd69cf-rms2b,439,153
00006e1adce63cf7,1750237230604635,1750237230604687,1750237230629355,00006e1adce63cf7,2c42d7704faadf4f,/search.Search/Nearby,HTTP GET /hotels,frontend,frontend-6777cd69cf-rms2b,frontend,frontend-6777cd69cf-rms2b,84262,24668
00006e1adce63cf7,1750237230604635,1750237230629385,1750237230688364,00006e1adce63cf7,738173aece0d59ea,/reservation.Reservation/CheckAvailability,HTTP GET /hotels,frontend,frontend-6777cd69cf-rms2b,frontend,frontend-6777cd69cf-rms2b,84262,58979
00006e1adce63cf7,1750237230604635,1750237230688420,1750237230688859,00006e1adce63cf7,70462c4aa1a67c1a,/profile.Profile/GetProfiles,HTTP GET /hotels,frontend,frontend-6777cd69cf-rms2b,frontend,frontend-6777cd69cf-rms2b,84262,439
00006e1adce63cf7,1750237230604635,1750237230628818,1750237230629016,344efdce6f61df12,08443a582a52b565,/geo.Geo/Nearby,/geo.Geo/Nearby,geo,geo-744fdcb64f-4t579,search,search-77b68f9cd5-vls8l,415,198
00006e1adce63cf7,1750237230604635,1750237230609021,1750237230609024,3eb5b96aaedede3c,125d2f80979d9251,/rate.Rate/GetRates,/rate.Rate/GetRates,rate,rate-56cb64b65-99rwt,search,search-77b68f9cd5-vls8l,182,3
00006e1adce63cf7,1750237230604635,1750237230608516,1750237230608931,764e57ef695d47a3,344efdce6f61df12,/geo.Geo/Nearby,/search.Search/Nearby,search,search-77b68f9cd5-vls8l,search,search-77b68f9cd5-vls8l,675,415
00006e1adce63cf7,1750237230604635,1750237230608935,1750237230609117,764e57ef695d47a3,3eb5b96aaedede3c,/rate.Rate/GetRates,/search.Search/Nearby,search,search-77b68f9cd5-vls8l,search,search-77b68f9cd5-vls8l,675,182
